fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 294.jpg;0.99;445.81;183.02;547.75;445.04;
jpgImages\video\frames\moana_1080p_2min 294.jpg;0.96;605.83;80.02;892.29;401.55;
jpgImages\video\frames\moana_1080p_2min 295.jpg;0.99;436.05;182.79;542.22;446.68;
jpgImages\video\frames\moana_1080p_2min 295.jpg;0.42;548.03;148.16;840.87;407.57;
jpgImages\video\frames\moana_1080p_2min 296.jpg;0.99;426.49;196.08;516.72;451.30;
jpgImages\video\frames\moana_1080p_2min 296.jpg;0.68;550.25;120.66;872.14;379.86;
jpgImages\video\frames\moana_1080p_2min 297.jpg;0.99;389.80;203.14;490.92;458.46;
jpgImages\video\frames\moana_1080p_2min 298.jpg;1.00;369.69;203.20;478.72;455.71;
jpgImages\video\frames\moana_1080p_2min 298.jpg;0.65;502.40;115.98;745.91;424.69;
jpgImages\video\frames\moana_1080p_2min 299.jpg;0.95;357.00;199.29;481.74;452.55;
jpgImages\video\frames\moana_1080p_2min 299.jpg;0.94;467.59;145.63;733.57;418.47;
jpgImages\video\frames\moana_1080p_2min 300.jpg;0.98;370.56;193.01;479.08;458.93;
jpgImages\video\frames\moana_1080p_2min 300.jpg;0.96;452.77;143.87;712.55;423.39;
jpgImages\video\frames\moana_1080p_2min 301.jpg;0.65;321.48;188.09;518.42;482.11;
